Scenario,Region,Variable,Year,Value
Current Policies,Alberta,Interprovincial Out-Flows,2018,599.178
Current Policies,Alberta,Imports,2018,1607.231
Current Policies,Alberta,Exports,2018,335.729
Current Policies,Alberta,Net Exports,2018,1271.502
Current Policies,Alberta,Net Interprovincial Out-Flows,2018,-1675.493
Current Policies,British Columbia,Interprovincial In-Flows,2018,441.579
Current Policies,British Columbia,Interprovincial Out-Flows,2018,1920.331
Current Policies,British Columbia,Imports,2018,10089.884
Current Policies,British Columbia,Exports,2018,8782.729
Current Policies,British Columbia,Net Exports,2018,-1307.155
Current Policies,British Columbia,Net Interprovincial Out-Flows,2018,1478.752
Current Policies,Canada,Interprovincial In-Flows,2018,50361.7
Current Policies,Canada,Interprovincial Out-Flows,2018,51893.62
Current Policies,Canada,Imports,2018,13194.641
Current Policies,Canada,Exports,2018,60010.029
Current Policies,Canada,Net Exports,2018,46815.388
Current Policies,Canada,Net Interprovincial Out-Flows,2018,1531.92
Current Policies,Manitoba,Interprovincial In-Flows,2018,39.604
Current Policies,Manitoba,Interprovincial Out-Flows,2018,791.508
Current Policies,Manitoba,Imports,2018,740.342
Current Policies,Manitoba,Exports,2018,5518.776
Current Policies,Manitoba,Net Exports,2018,4778.434
Current Policies,Manitoba,Net Interprovincial Out-Flows,2018,751.904
Current Policies,New Brunswick,Interprovincial In-Flows,2018,2943.688
Current Policies,New Brunswick,Interprovincial Out-Flows,2018,1616.125
Current Policies,New Brunswick,Imports,2018,176.141
Current Policies,New Brunswick,Exports,2018,1231.808
Current Policies,New Brunswick,Net Exports,2018,1055.667
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2018,-1327.563
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2018,0
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2018,32423.44
Current Policies,Newfoundland and Labrador,Imports,2018,0
Current Policies,Newfoundland and Labrador,Exports,2018,0
Current Policies,Newfoundland and Labrador,Net Exports,2018,0
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2018,32423.44
Current Policies,Nova Scotia,Interprovincial In-Flows,2018,526.513
Current Policies,Nova Scotia,Interprovincial Out-Flows,2018,88.518
Current Policies,Nova Scotia,Imports,2018,13.004
Current Policies,Nova Scotia,Exports,2018,0
Current Policies,Nova Scotia,Net Exports,2018,-13.004
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2018,-437.995
Current Policies,Ontario,Interprovincial In-Flows,2018,8528.492
Current Policies,Ontario,Interprovincial Out-Flows,2018,3179.907
Current Policies,Ontario,Imports,2018,269.729
Current Policies,Ontario,Exports,2018,17015.692
Current Policies,Ontario,Net Exports,2018,16745.963
Current Policies,Ontario,Net Interprovincial Out-Flows,2018,-5348.585
Current Policies,Prince Edward Island,Interprovincial In-Flows,2018,1130.801
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2018,310.648
Current Policies,Prince Edward Island,Imports,2018,0
Current Policies,Prince Edward Island,Exports,2018,0
Current Policies,Prince Edward Island,Net Exports,2018,0
Current Policies,Prince Edward Island,Net Interprovincial Out-Flows,2018,-820.153
Current Policies,Quebec,Interprovincial In-Flows,2018,34071.748
Current Policies,Quebec,Interprovincial Out-Flows,2018,10608.509
Current Policies,Quebec,Imports,2018,180.567
Current Policies,Quebec,Exports,2018,27022.212
Current Policies,Quebec,Net Exports,2018,26841.645
Current Policies,Quebec,Net Interprovincial Out-Flows,2018,-23463.239
Current Policies,Saskatchewan,Interprovincial In-Flows,2018,404.605
Current Policies,Saskatchewan,Interprovincial Out-Flows,2018,355.456
Current Policies,Saskatchewan,Imports,2018,117.703
Current Policies,Saskatchewan,Exports,2018,103.083
Current Policies,Saskatchewan,Net Exports,2018,-14.62
Current Policies,Saskatchewan,Net Interprovincial Out-Flows,2018,-49.149
Evolving Policies,Alberta,Interprovincial In-Flows,2018,2274.671
Evolving Policies,Alberta,Interprovincial Out-Flows,2018,599.178
Evolving Policies,Alberta,Imports,2018,1607.231
Evolving Policies,Alberta,Exports,2018,335.729
Evolving Policies,Alberta,Net Exports,2018,1271.502
Evolving Policies,Alberta,Net Interprovincial Out-Flows,2018,-1675.493
Evolving Policies,British Columbia,Interprovincial In-Flows,2018,441.579
Evolving Policies,British Columbia,Interprovincial Out-Flows,2018,1920.331
Evolving Policies,British Columbia,Imports,2018,10089.884
Evolving Policies,British Columbia,Exports,2018,8782.729
Evolving Policies,British Columbia,Net Exports,2018,-1307.155
Evolving Policies,British Columbia,Net Interprovincial Out-Flows,2018,1478.752
Evolving Policies,Canada,Interprovincial In-Flows,2018,50361.7
Evolving Policies,Canada,Interprovincial Out-Flows,2018,51893.62
Evolving Policies,Canada,Imports,2018,13194.641
Evolving Policies,Canada,Exports,2018,60010.029
Evolving Policies,Canada,Net Exports,2018,46815.388
Evolving Policies,Canada,Net Interprovincial Out-Flows,2018,1531.92
Evolving Policies,Manitoba,Interprovincial In-Flows,2018,39.604
Evolving Policies,Manitoba,Interprovincial Out-Flows,2018,791.508
Evolving Policies,Manitoba,Imports,2018,740.342
Evolving Policies,Manitoba,Exports,2018,5518.776
Evolving Policies,Manitoba,Net Exports,2018,4778.434
Evolving Policies,Manitoba,Net Interprovincial Out-Flows,2018,751.904
Evolving Policies,New Brunswick,Interprovincial In-Flows,2018,2943.688
Evolving Policies,New Brunswick,Interprovincial Out-Flows,2018,1616.125
Evolving Policies,New Brunswick,Imports,2018,176.141
Evolving Policies,New Brunswick,Exports,2018,1231.808
Evolving Policies,New Brunswick,Net Exports,2018,1055.667
Evolving Policies,New Brunswick,Net Interprovincial Out-Flows,2018,-1327.563
Evolving Policies,Newfoundland and Labrador,Interprovincial In-Flows,2018,0
Evolving Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2018,32423.44
Evolving Policies,Newfoundland and Labrador,Imports,2018,0
Evolving Policies,Newfoundland and Labrador,Exports,2018,0
Evolving Policies,Newfoundland and Labrador,Net Exports,2018,0
Evolving Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2018,32423.44
Evolving Policies,Nova Scotia,Interprovincial In-Flows,2018,526.513
Evolving Policies,Nova Scotia,Interprovincial Out-Flows,2018,88.518
Evolving Policies,Nova Scotia,Imports,2018,13.004
Evolving Policies,Nova Scotia,Exports,2018,0
Evolving Policies,Nova Scotia,Net Exports,2018,-13.004
Evolving Policies,Nova Scotia,Net Interprovincial Out-Flows,2018,-437.995
Evolving Policies,Ontario,Interprovincial In-Flows,2018,8528.492
Evolving Policies,Ontario,Interprovincial Out-Flows,2018,3179.907
Evolving Policies,Ontario,Imports,2018,269.729
Evolving Policies,Ontario,Exports,2018,17015.692
Evolving Policies,Ontario,Net Exports,2018,16745.963
Evolving Policies,Ontario,Net Interprovincial Out-Flows,2018,-5348.585
Evolving Policies,Prince Edward Island,Interprovincial In-Flows,2018,1130.801
Evolving Policies,Prince Edward Island,Interprovincial Out-Flows,2018,310.648
Evolving Policies,Prince Edward Island,Imports,2018,0
Evolving Policies,Prince Edward Island,Exports,2018,0
Evolving Policies,Prince Edward Island,Net Exports,2018,0
Evolving Policies,Prince Edward Island,Net Interprovincial Out-Flows,2018,-820.153
Evolving Policies,Quebec,Interprovincial In-Flows,2018,34071.748
Evolving Policies,Quebec,Interprovincial Out-Flows,2018,10608.509
Evolving Policies,Quebec,Imports,2018,180.567
Evolving Policies,Quebec,Exports,2018,27022.212
Evolving Policies,Quebec,Net Exports,2018,26841.645
Evolving Policies,Quebec,Net Interprovincial Out-Flows,2018,-23463.239
Evolving Policies,Saskatchewan,Interprovincial In-Flows,2018,404.605
Evolving Policies,Saskatchewan,Interprovincial Out-Flows,2018,355.456
Evolving Policies,Saskatchewan,Imports,2018,117.703
Evolving Policies,Saskatchewan,Exports,2018,103.083
Evolving Policies,Saskatchewan,Net Exports,2018,-14.62
Evolving Policies,Saskatchewan,Net Interprovincial Out-Flows,2018,-49.149
Current Policies,Alberta,Interprovincial In-Flows,2019,909.5008
Current Policies,Alberta,Interprovincial Out-Flows,2019,285.576
Current Policies,Alberta,Imports,2019,0
Current Policies,Alberta,Exports,2019,332.88
Current Policies,Alberta,Net Exports,2019,332.88
Current Policies,Alberta,Net Interprovincial Out-Flows,2019,-623.9248
Current Policies,British Columbia,Interprovincial In-Flows,2019,201.5676
Current Policies,British Columbia,Interprovincial Out-Flows,2019,932.8213
Current Policies,British Columbia,Imports,2019,197.6345
Current Policies,British Columbia,Exports,2019,6142.035
Current Policies,British Columbia,Net Exports,2019,5944.4005
Current Policies,British Columbia,Net Interprovincial Out-Flows,2019,731.2537
Current Policies,Canada,Interprovincial In-Flows,2019,50825.56
Current Policies,Canada,Interprovincial Out-Flows,2019,52128.77
Current Policies,Canada,Imports,2019,5574.997
Current Policies,Canada,Exports,2019,48886.67
Current Policies,Canada,Net Exports,2019,43311.673
Current Policies,Canada,Net Interprovincial Out-Flows,2019,1303.21
Current Policies,Manitoba,Interprovincial In-Flows,2019,0
Current Policies,Manitoba,Interprovincial Out-Flows,2019,562.9534
Current Policies,Manitoba,Imports,2019,0
Current Policies,Manitoba,Exports,2019,9944.353
Current Policies,Manitoba,Net Exports,2019,9944.353
Current Policies,Manitoba,Net Interprovincial Out-Flows,2019,562.9534
Current Policies,New Brunswick,Interprovincial In-Flows,2019,1074.651
Current Policies,New Brunswick,Interprovincial Out-Flows,2019,2691.272
Current Policies,New Brunswick,Imports,2019,3416.4
Current Policies,New Brunswick,Exports,2019,244.0973
Current Policies,New Brunswick,Net Exports,2019,-3172.3027
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2019,1616.621
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2019,0
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2019,36041.95
Current Policies,Newfoundland and Labrador,Imports,2019,0
Current Policies,Newfoundland and Labrador,Exports,2019,0
Current Policies,Newfoundland and Labrador,Net Exports,2019,0
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2019,36041.95
Current Policies,Nova Scotia,Interprovincial In-Flows,2019,3416.4
Current Policies,Nova Scotia,Interprovincial Out-Flows,2019,35.04
Current Policies,Nova Scotia,Imports,2019,0
Current Policies,Nova Scotia,Exports,2019,0
Current Policies,Nova Scotia,Net Exports,2019,0
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2019,-3381.36
Current Policies,Ontario,Interprovincial In-Flows,2019,5978.7
Current Policies,Ontario,Interprovincial Out-Flows,2019,4380
Current Policies,Ontario,Imports,2019,883.5512
Current Policies,Ontario,Exports,2019,20894.13
Current Policies,Ontario,Net Exports,2019,20010.5788
Current Policies,Ontario,Net Interprovincial Out-Flows,2019,-1598.7
Current Policies,Prince Edward Island,Interprovincial In-Flows,2019,1054.366
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2019,0
Current Policies,Prince Edward Island,Imports,2019,0
Current Policies,Prince Edward Island,Exports,2019,0
Current Policies,Prince Edward Island,Net Exports,2019,0
Current Policies,Prince Edward Island,Net Interprovincial Out-Flows,2019,-1054.366
Current Policies,Quebec,Interprovincial In-Flows,2019,37564.63
Current Policies,Quebec,Interprovincial Out-Flows,2019,7199.166
Current Policies,Quebec,Imports,2019,683.28
Current Policies,Quebec,Exports,2019,11329.18
Current Policies,Quebec,Net Exports,2019,10645.9
Current Policies,Quebec,Net Interprovincial Out-Flows,2019,-30365.464
Current Policies,Saskatchewan,Interprovincial In-Flows,2019,625.7485
Current Policies,Saskatchewan,Interprovincial Out-Flows,2019,0
Current Policies,Saskatchewan,Imports,2019,394.1309
Current Policies,Saskatchewan,Exports,2019,0
Current Policies,Saskatchewan,Net Exports,2019,-394.1309
Current Policies,Saskatchewan,Net Interprovincial Out-Flows,2019,-625.7485
Evolving Policies,Alberta,Interprovincial In-Flows,2019,909.4751
Evolving Policies,Alberta,Interprovincial Out-Flows,2019,285.576
Evolving Policies,Alberta,Imports,2019,0
Evolving Policies,Alberta,Exports,2019,332.88
Evolving Policies,Alberta,Net Exports,2019,332.88
Evolving Policies,Alberta,Net Interprovincial Out-Flows,2019,-623.8991
Evolving Policies,British Columbia,Interprovincial In-Flows,2019,201.5676
Evolving Policies,British Columbia,Interprovincial Out-Flows,2019,932.795
Evolving Policies,British Columbia,Imports,2019,198.1076
Evolving Policies,British Columbia,Exports,2019,6142.035
Evolving Policies,British Columbia,Net Exports,2019,5943.9274
Evolving Policies,British Columbia,Net Interprovincial Out-Flows,2019,731.2274
Evolving Policies,Canada,Interprovincial In-Flows,2019,50815.16
Evolving Policies,Canada,Interprovincial Out-Flows,2019,52118.11
Evolving Policies,Canada,Imports,2019,5575.465
Evolving Policies,Canada,Exports,2019,48897.11
Evolving Policies,Canada,Net Exports,2019,43321.645
Evolving Policies,Canada,Net Interprovincial Out-Flows,2019,1302.95
Evolving Policies,Manitoba,Interprovincial In-Flows,2019,0
Evolving Policies,Manitoba,Interprovincial Out-Flows,2019,552.3192
Evolving Policies,Manitoba,Imports,2019,0
Evolving Policies,Manitoba,Exports,2019,9954.789
Evolving Policies,Manitoba,Net Exports,2019,9954.789
Evolving Policies,Manitoba,Net Interprovincial Out-Flows,2019,552.3192
Evolving Policies,New Brunswick,Interprovincial In-Flows,2019,1074.651
Evolving Policies,New Brunswick,Interprovincial Out-Flows,2019,2691.272
Evolving Policies,New Brunswick,Imports,2019,3416.4
Evolving Policies,New Brunswick,Exports,2019,244.0973
Evolving Policies,New Brunswick,Net Exports,2019,-3172.3027
Evolving Policies,New Brunswick,Net Interprovincial Out-Flows,2019,1616.621
Evolving Policies,Newfoundland and Labrador,Interprovincial In-Flows,2019,0
Evolving Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2019,36041.95
Evolving Policies,Newfoundland and Labrador,Imports,2019,0
Evolving Policies,Newfoundland and Labrador,Exports,2019,0
Evolving Policies,Newfoundland and Labrador,Net Exports,2019,0
Evolving Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2019,36041.95
Evolving Policies,Nova Scotia,Interprovincial In-Flows,2019,3416.4
Evolving Policies,Nova Scotia,Interprovincial Out-Flows,2019,35.04
Evolving Policies,Nova Scotia,Imports,2019,0
Evolving Policies,Nova Scotia,Exports,2019,0
Evolving Policies,Nova Scotia,Net Exports,2019,0
Evolving Policies,Nova Scotia,Net Interprovincial Out-Flows,2019,-3381.36
Evolving Policies,Ontario,Interprovincial In-Flows,2019,5978.7
Evolving Policies,Ontario,Interprovincial Out-Flows,2019,4380
Evolving Policies,Ontario,Imports,2019,883.5469
Evolving Policies,Ontario,Exports,2019,20894.13
Evolving Policies,Ontario,Net Exports,2019,20010.5831
Evolving Policies,Ontario,Net Interprovincial Out-Flows,2019,-1598.7
Evolving Policies,Prince Edward Island,Interprovincial In-Flows,2019,1054.366
Evolving Policies,Prince Edward Island,Interprovincial Out-Flows,2019,0
Evolving Policies,Prince Edward Island,Imports,2019,0
Evolving Policies,Prince Edward Island,Exports,2019,0
Evolving Policies,Prince Edward Island,Net Exports,2019,0
Evolving Policies,Prince Edward Island,Net Interprovincial Out-Flows,2019,-1054.366
Evolving Policies,Quebec,Interprovincial In-Flows,2019,37564.63
Evolving Policies,Quebec,Interprovincial Out-Flows,2019,7199.166
Evolving Policies,Quebec,Imports,2019,683.28
Evolving Policies,Quebec,Exports,2019,11329.18
Evolving Policies,Quebec,Net Exports,2019,10645.9
Evolving Policies,Quebec,Net Interprovincial Out-Flows,2019,-30365.464
Evolving Policies,Saskatchewan,Interprovincial In-Flows,2019,615.3802
Evolving Policies,Saskatchewan,Interprovincial Out-Flows,2019,0
Evolving Policies,Saskatchewan,Imports,2019,394.1309
Evolving Policies,Saskatchewan,Exports,2019,0
Evolving Policies,Saskatchewan,Net Exports,2019,-394.1309
Evolving Policies,Saskatchewan,Net Interprovincial Out-Flows,2019,-615.3802
Current Policies,Alberta,Interprovincial In-Flows,2020,0
Current Policies,Alberta,Interprovincial Out-Flows,2020,4458.84
Current Policies,Alberta,Imports,2020,1753
Current Policies,Alberta,Exports,2020,57.057658
Current Policies,Alberta,Net Exports,2020,-1695.942342
Current Policies,Alberta,Net Interprovincial Out-Flows,2020,4458.84
Current Policies,British Columbia,Interprovincial In-Flows,2020,4270.5
Current Policies,British Columbia,Interprovincial Out-Flows,2020,0
Current Policies,British Columbia,Imports,2020,7079
Current Policies,British Columbia,Exports,2020,11680.58179
Current Policies,British Columbia,Net Exports,2020,4601.581794
Current Policies,British Columbia,Net Interprovincial Out-Flows,2020,-4270.5
Current Policies,Canada,Interprovincial In-Flows,2020,52652.27
Current Policies,Canada,Interprovincial Out-Flows,2020,54002.32
Current Policies,Canada,Imports,2020,9811.839
Current Policies,Canada,Exports,2020,67158.15759
Current Policies,Canada,Net Exports,2020,57346.31859
Current Policies,Canada,Net Interprovincial Out-Flows,2020,1350.05
Current Policies,Manitoba,Interprovincial In-Flows,2020,114.5774
Current Policies,Manitoba,Interprovincial Out-Flows,2020,0
Current Policies,Manitoba,Imports,2020,188.259
Current Policies,Manitoba,Exports,2020,10422.51977
Current Policies,Manitoba,Net Exports,2020,10234.26077
Current Policies,Manitoba,Net Interprovincial Out-Flows,2020,-114.5774
Current Policies,New Brunswick,Interprovincial In-Flows,2020,1012.437
Current Policies,New Brunswick,Interprovincial Out-Flows,2020,4456.532
Current Policies,New Brunswick,Imports,2020,70.384
Current Policies,New Brunswick,Exports,2020,1682.069
Current Policies,New Brunswick,Net Exports,2020,1611.685
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2020,3444.095
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2020,0
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2020,37361.04
Current Policies,Newfoundland and Labrador,Imports,2020,4.2
Current Policies,Newfoundland and Labrador,Exports,2020,1205.3052
Current Policies,Newfoundland and Labrador,Net Exports,2020,1201.1052
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2020,37361.04
Current Policies,Nova Scotia,Interprovincial In-Flows,2020,3416.489
Current Policies,Nova Scotia,Interprovincial Out-Flows,2020,93.4859
Current Policies,Nova Scotia,Imports,2020,149.184
Current Policies,Nova Scotia,Exports,2020,0.451
Current Policies,Nova Scotia,Net Exports,2020,-148.733
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2020,-3323.0031
Current Policies,Ontario,Interprovincial In-Flows,2020,5978.7
Current Policies,Ontario,Interprovincial Out-Flows,2020,438
Current Policies,Ontario,Imports,2020,561.36
Current Policies,Ontario,Exports,2020,17649.24518
Current Policies,Ontario,Net Exports,2020,17087.88518
Current Policies,Ontario,Net Interprovincial Out-Flows,2020,-5540.7
Current Policies,Prince Edward Island,Interprovincial In-Flows,2020,1046.778
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2020,0
Current Policies,Prince Edward Island,Imports,2020,0
Current Policies,Prince Edward Island,Exports,2020,0
Current Policies,Prince Edward Island,Net Exports,2020,0
Current Policies,Prince Edward Island,Net Interprovincial Out-Flows,2020,-1046.778
Current Policies,Quebec,Interprovincial In-Flows,2020,36735.91
Current Policies,Quebec,Interprovincial Out-Flows,2020,7076.911
Current Policies,Quebec,Imports,2020,1.826
Current Policies,Quebec,Exports,2020,24371.769
Current Policies,Quebec,Net Exports,2020,24369.943
Current Policies,Quebec,Net Interprovincial Out-Flows,2020,-29658.999
Current Policies,Saskatchewan,Interprovincial In-Flows,2020,76.869
Current Policies,Saskatchewan,Interprovincial Out-Flows,2020,117.5153
Current Policies,Saskatchewan,Imports,2020,4.626
Current Policies,Saskatchewan,Exports,2020,89.159
Current Policies,Saskatchewan,Net Exports,2020,84.533
Current Policies,Saskatchewan,Net Interprovincial Out-Flows,2020,40.6463
Evolving Policies,Alberta,Interprovincial In-Flows,2020,0
Evolving Policies,Alberta,Interprovincial Out-Flows,2020,4458.84
Evolving Policies,Alberta,Imports,2020,1753
Evolving Policies,Alberta,Exports,2020,57.057658
Evolving Policies,Alberta,Net Exports,2020,-1695.942342
Evolving Policies,Alberta,Net Interprovincial Out-Flows,2020,4458.84
Evolving Policies,British Columbia,Interprovincial In-Flows,2020,4270.5
Evolving Policies,British Columbia,Interprovincial Out-Flows,2020,0
Evolving Policies,British Columbia,Imports,2020,7079
Evolving Policies,British Columbia,Exports,2020,11680.58179
Evolving Policies,British Columbia,Net Exports,2020,4601.581794
Evolving Policies,British Columbia,Net Interprovincial Out-Flows,2020,-4270.5
Evolving Policies,Canada,Interprovincial In-Flows,2020,52652.27
Evolving Policies,Canada,Interprovincial Out-Flows,2020,54002.32
Evolving Policies,Canada,Imports,2020,9811.839
Evolving Policies,Canada,Exports,2020,67158.15759
Evolving Policies,Canada,Net Exports,2020,57346.31859
Evolving Policies,Canada,Net Interprovincial Out-Flows,2020,1350.05
Evolving Policies,Manitoba,Interprovincial In-Flows,2020,114.5774
Evolving Policies,Manitoba,Interprovincial Out-Flows,2020,0
Evolving Policies,Manitoba,Imports,2020,188.259
Evolving Policies,Manitoba,Exports,2020,10422.51977
Evolving Policies,Manitoba,Net Exports,2020,10234.26077
Evolving Policies,Manitoba,Net Interprovincial Out-Flows,2020,-114.5774
Evolving Policies,New Brunswick,Interprovincial In-Flows,2020,1012.437
Evolving Policies,New Brunswick,Interprovincial Out-Flows,2020,4456.532
Evolving Policies,New Brunswick,Imports,2020,70.384
Evolving Policies,New Brunswick,Exports,2020,1682.069
Evolving Policies,New Brunswick,Net Exports,2020,1611.685
Evolving Policies,New Brunswick,Net Interprovincial Out-Flows,2020,3444.095
Evolving Policies,Newfoundland and Labrador,Interprovincial In-Flows,2020,0
Evolving Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2020,37361.04
Evolving Policies,Newfoundland and Labrador,Imports,2020,4.2
Evolving Policies,Newfoundland and Labrador,Exports,2020,1205.3052
Evolving Policies,Newfoundland and Labrador,Net Exports,2020,1201.1052
Evolving Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2020,37361.04
Evolving Policies,Nova Scotia,Interprovincial In-Flows,2020,3416.489
Evolving Policies,Nova Scotia,Interprovincial Out-Flows,2020,93.4859
Evolving Policies,Nova Scotia,Imports,2020,149.184
Evolving Policies,Nova Scotia,Exports,2020,0.451
Evolving Policies,Nova Scotia,Net Exports,2020,-148.733
Evolving Policies,Nova Scotia,Net Interprovincial Out-Flows,2020,-3323.0031
Evolving Policies,Ontario,Interprovincial In-Flows,2020,5978.7
Evolving Policies,Ontario,Interprovincial Out-Flows,2020,438
Evolving Policies,Ontario,Imports,2020,561.36
Evolving Policies,Ontario,Exports,2020,17649.24518
Evolving Policies,Ontario,Net Exports,2020,17087.88518
Evolving Policies,Ontario,Net Interprovincial Out-Flows,2020,-5540.7
Evolving Policies,Prince Edward Island,Interprovincial In-Flows,2020,1046.778
Evolving Policies,Prince Edward Island,Interprovincial Out-Flows,2020,0
Evolving Policies,Prince Edward Island,Imports,2020,0
Evolving Policies,Prince Edward Island,Exports,2020,0
Evolving Policies,Prince Edward Island,Net Exports,2020,0
Evolving Policies,Prince Edward Island,Net Interprovincial Out-Flows,2020,-1046.778
Evolving Policies,Quebec,Interprovincial In-Flows,2020,36735.91
Evolving Policies,Quebec,Interprovincial Out-Flows,2020,7076.911
Evolving Policies,Quebec,Imports,2020,1.826
Evolving Policies,Quebec,Exports,2020,24371.769
Evolving Policies,Quebec,Net Exports,2020,24369.943
Evolving Policies,Quebec,Net Interprovincial Out-Flows,2020,-29658.999
Evolving Policies,Saskatchewan,Interprovincial In-Flows,2020,76.869
Evolving Policies,Saskatchewan,Interprovincial Out-Flows,2020,117.5153
Evolving Policies,Saskatchewan,Imports,2020,4.626
Evolving Policies,Saskatchewan,Exports,2020,89.159
Evolving Policies,Saskatchewan,Net Exports,2020,84.533
Evolving Policies,Saskatchewan,Net Interprovincial Out-Flows,2020,40.6463
Current Policies,Alberta,Interprovincial In-Flows,2021,0
Current Policies,Alberta,Interprovincial Out-Flows,2021,4458.84
Current Policies,Alberta,Imports,2021,0
Current Policies,Alberta,Exports,2021,350.4
Current Policies,Alberta,Net Exports,2021,350.4
Current Policies,Alberta,Net Interprovincial Out-Flows,2021,4458.84
Current Policies,British Columbia,Interprovincial In-Flows,2021,4270.5
Current Policies,British Columbia,Interprovincial Out-Flows,2021,0
Current Policies,British Columbia,Imports,2021,1384.006
Current Policies,British Columbia,Exports,2021,4112.725
Current Policies,British Columbia,Net Exports,2021,2728.719
Current Policies,British Columbia,Net Interprovincial Out-Flows,2021,-4270.5
Current Policies,Canada,Interprovincial In-Flows,2021,53068.52
Current Policies,Canada,Interprovincial Out-Flows,2021,54429.24
Current Policies,Canada,Imports,2021,6984.75
Current Policies,Canada,Exports,2021,45163.09
Current Policies,Canada,Net Exports,2021,38178.34
Current Policies,Canada,Net Interprovincial Out-Flows,2021,1360.72
Current Policies,Manitoba,Interprovincial In-Flows,2021,179.8914
Current Policies,Manitoba,Interprovincial Out-Flows,2021,0
Current Policies,Manitoba,Imports,2021,709.0619
Current Policies,Manitoba,Exports,2021,10986.22
Current Policies,Manitoba,Net Exports,2021,10277.1581
Current Policies,Manitoba,Net Interprovincial Out-Flows,2021,-179.8914
Current Policies,New Brunswick,Interprovincial In-Flows,2021,1026.761
Current Policies,New Brunswick,Interprovincial Out-Flows,2021,4432.959
Current Policies,New Brunswick,Imports,2021,2992.86
Current Policies,New Brunswick,Exports,2021,858.48
Current Policies,New Brunswick,Net Exports,2021,-2134.38
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2021,3406.198
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2021,0
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2021,37729.85
Current Policies,Newfoundland and Labrador,Imports,2021,0
Current Policies,Newfoundland and Labrador,Exports,2021,0
Current Policies,Newfoundland and Labrador,Net Exports,2021,0
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2021,37729.85
Current Policies,Nova Scotia,Interprovincial In-Flows,2021,3474.331
Current Policies,Nova Scotia,Interprovincial Out-Flows,2021,77.1408
Current Policies,Nova Scotia,Imports,2021,0
Current Policies,Nova Scotia,Exports,2021,0
Current Policies,Nova Scotia,Net Exports,2021,0
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2021,-3397.1902
Current Policies,Ontario,Interprovincial In-Flows,2021,5978.7
Current Policies,Ontario,Interprovincial Out-Flows,2021,438
Current Policies,Ontario,Imports,2021,657.5134
Current Policies,Ontario,Exports,2021,11646.88
Current Policies,Ontario,Net Exports,2021,10989.3666
Current Policies,Ontario,Net Interprovincial Out-Flows,2021,-5540.7
Current Policies,Prince Edward Island,Interprovincial In-Flows,2021,885.5635
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2021,0
Current Policies,Prince Edward Island,Imports,2021,0
Current Policies,Prince Edward Island,Exports,2021,0
Current Policies,Prince Edward Island,Net Exports,2021,0
Current Policies,Prince Edward Island,Net Interprovincial Out-Flows,2021,-885.5635
Current Policies,Quebec,Interprovincial In-Flows,2021,37175.9
Current Policies,Quebec,Interprovincial Out-Flows,2021,7107.947
Current Policies,Quebec,Imports,2021,1197.144
Current Policies,Quebec,Exports,2021,16963.86
Current Policies,Quebec,Net Exports,2021,15766.716
Current Policies,Quebec,Net Interprovincial Out-Flows,2021,-30067.953
Current Policies,Saskatchewan,Interprovincial In-Flows,2021,76.869
Current Policies,Saskatchewan,Interprovincial Out-Flows,2021,184.504
Current Policies,Saskatchewan,Imports,2021,44.1638
Current Policies,Saskatchewan,Exports,2021,244.5158
Current Policies,Saskatchewan,Net Exports,2021,200.352
Current Policies,Saskatchewan,Net Interprovincial Out-Flows,2021,107.635
Evolving Policies,Alberta,Interprovincial In-Flows,2021,0
Evolving Policies,Alberta,Interprovincial Out-Flows,2021,954.84
Evolving Policies,Alberta,Imports,2021,0
