Scenario,Region,Variable,Year,Value
Evolving Policies,New Brunswick,Net Interprovincial Out-Flows,2005,2277.78
Evolving Policies,Newfoundland and Labrador,Exports,2005,0
Evolving Policies,Newfoundland and Labrador,Imports,2005,0
Evolving Policies,Newfoundland and Labrador,Interprovincial In-Flows,2005,15.69
Evolving Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2005,30204.72
Evolving Policies,Newfoundland and Labrador,Net Exports,2005,0
Evolving Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2005,30189.03
Evolving Policies,Nova Scotia,Exports,2005,104.43
Evolving Policies,Nova Scotia,Imports,2005,69.3
Evolving Policies,Nova Scotia,Interprovincial In-Flows,2005,185.86
Evolving Policies,Nova Scotia,Interprovincial Out-Flows,2005,32.68
Evolving Policies,Nova Scotia,Net Exports,2005,35.13
Evolving Policies,Nova Scotia,Net Interprovincial Out-Flows,2005,-153.18
Evolving Policies,Ontario,Exports,2005,8720
Evolving Policies,Ontario,Imports,2005,8903
Evolving Policies,Ontario,Interprovincial In-Flows,2005,5795
Evolving Policies,Ontario,Interprovincial Out-Flows,2005,5567
Evolving Policies,Ontario,Net Exports,2005,-183
Evolving Policies,Ontario,Net Interprovincial Out-Flows,2005,-228
Evolving Policies,Prince Edward Island,Exports,2005,0
Evolving Policies,Prince Edward Island,Imports,2005,0
Evolving Policies,Prince Edward Island,Interprovincial In-Flows,2005,1151.69
Evolving Policies,Prince Edward Island,Interprovincial Out-Flows,2005,0
Evolving Policies,Prince Edward Island,Net Exports,2005,0
Evolving Policies,Prince Edward Island,Net Interprovincial Out-Flows,2005,-1151.69
Evolving Policies,Quebec,Exports,2005,10565
Evolving Policies,Quebec,Imports,2005,3272
Evolving Policies,Quebec,Interprovincial In-Flows,2005,36787
Evolving Policies,Quebec,Interprovincial Out-Flows,2005,2881
Evolving Policies,Quebec,Net Exports,2005,7293
Evolving Policies,Quebec,Net Interprovincial Out-Flows,2005,-33906
Evolving Policies,Saskatchewan,Exports,2005,691.4
Evolving Policies,Saskatchewan,Imports,2005,426.91
Evolving Policies,Saskatchewan,Interprovincial In-Flows,2005,525.6
Evolving Policies,Saskatchewan,Interprovincial Out-Flows,2005,769.21
Evolving Policies,Saskatchewan,Net Exports,2005,264.49
Evolving Policies,Saskatchewan,Net Interprovincial Out-Flows,2005,243.61
Current Policies,Alberta,Exports,2006,67.41
Current Policies,Alberta,Imports,2006,209.33
Current Policies,Alberta,Interprovincial In-Flows,2006,2025.42
Current Policies,Alberta,Interprovincial Out-Flows,2006,793.81
Current Policies,Alberta,Net Exports,2006,-141.92
Current Policies,Alberta,Net Interprovincial Out-Flows,2006,-1231.61
Current Policies,British Columbia,Exports,2006,5081.5
Current Policies,British Columbia,Imports,2006,12265.72
Current Policies,British Columbia,Interprovincial In-Flows,2006,421
Current Policies,British Columbia,Interprovincial Out-Flows,2006,1051.34
Current Policies,British Columbia,Net Exports,2006,-7184.22
Current Policies,British Columbia,Net Interprovincial Out-Flows,2006,630.34
Current Policies,Canada,Exports,2006,42735.42
Current Policies,Canada,Imports,2006,23624.12
Current Policies,Canada,Interprovincial In-Flows,2006,47099.68
Current Policies,Canada,Interprovincial Out-Flows,2006,47108.52
Current Policies,Canada,Net Exports,2006,19111.3
Current Policies,Canada,Net Interprovincial Out-Flows,2006,8.84
Current Policies,Manitoba,Exports,2006,12344.45
Current Policies,Manitoba,Imports,2006,828.57
Current Policies,Manitoba,Interprovincial In-Flows,2006,302.47
Current Policies,Manitoba,Interprovincial Out-Flows,2006,2198.15
Current Policies,Manitoba,Net Exports,2006,11515.88
Current Policies,Manitoba,Net Interprovincial Out-Flows,2006,1895.68
Current Policies,New Brunswick,Exports,2006,2140.79
Current Policies,New Brunswick,Imports,2006,1629.96
Current Policies,New Brunswick,Interprovincial In-Flows,2006,171.94
Current Policies,New Brunswick,Interprovincial Out-Flows,2006,2003.69
Current Policies,New Brunswick,Net Exports,2006,510.83
Current Policies,New Brunswick,Net Interprovincial Out-Flows,2006,1831.75
Current Policies,Newfoundland and Labrador,Exports,2006,0
Current Policies,Newfoundland and Labrador,Imports,2006,0
Current Policies,Newfoundland and Labrador,Interprovincial In-Flows,2006,15.66
Current Policies,Newfoundland and Labrador,Interprovincial Out-Flows,2006,31347.58
Current Policies,Newfoundland and Labrador,Net Exports,2006,0
Current Policies,Newfoundland and Labrador,Net Interprovincial Out-Flows,2006,31331.92
Current Policies,Nova Scotia,Exports,2006,228.6
Current Policies,Nova Scotia,Imports,2006,24.59
Current Policies,Nova Scotia,Interprovincial In-Flows,2006,106.31
Current Policies,Nova Scotia,Interprovincial Out-Flows,2006,118.68
Current Policies,Nova Scotia,Net Exports,2006,204.01
Current Policies,Nova Scotia,Net Interprovincial Out-Flows,2006,12.37
Current Policies,Ontario,Exports,2006,10566
Current Policies,Ontario,Imports,2006,6104
Current Policies,Ontario,Interprovincial In-Flows,2006,4889
Current Policies,Ontario,Interprovincial Out-Flows,2006,5296
Current Policies,Ontario,Net Exports,2006,4462
Current Policies,Ontario,Net Interprovincial Out-Flows,2006,407
Current Policies,Prince Edward Island,Exports,2006,0
Current Policies,Prince Edward Island,Imports,2006,0
Current Policies,Prince Edward Island,Interprovincial In-Flows,2006,1262.82
Current Policies,Prince Edward Island,Interprovincial Out-Flows,2006,0
Current Policies,Prince Edward Island,Net Exports,2006,0
Current Policies,Prince Edward Island,Net Interprovincial Out-Flows,2006,-1262.82
Current Policies,Quebec,Exports,2006,11712
Current Policies,Quebec,Imports,2006,2534
Current Policies,Quebec,Interprovincial In-Flows,2006,37303
Current Policies,Quebec,Interprovincial Out-Flows,2006,3116
Current Policies,Quebec,Net Exports,2006,9178
Current Policies,Quebec,Net Interprovincial Out-Flows,2006,-34187
Current Policies,Saskatchewan,Exports,2006,594.67
Current Policies,Saskatchewan,Imports,2006,1147.08
Current Policies,Saskatchewan,Interprovincial In-Flows,2006,602.07
Current Policies,Saskatchewan,Interprovincial Out-Flows,2006,1183.28
Current Policies,Saskatchewan,Net Exports,2006,-552.41
Current Policies,Saskatchewan,Net Interprovincial Out-Flows,2006,581.21
Evolving Policies,Alberta,Exports,2006,67.41
Evolving Policies,Alberta,Imports,2006,209.33
Evolving Policies,Alberta,Interprovincial In-Flows,2006,2025.42
Evolving Policies,Alberta,Interprovincial Out-Flows,2006,793.81
Evolving Policies,Alberta,Net Exports,2006,-141.92
Evolving Policies,Alberta,Net Interprovincial Out-Flows,2006,-1231.61
Evolving Policies,British Columbia,Exports,2006,5081.5
Evolving Policies,British Columbia,Imports,2006,12265.72
Evolving Policies,British Columbia,Interprovincial In-Flows,2006,421
Evolving Policies,British Columbia,Interprovincial Out-Flows,2006,1051.34
Evolving Policies,British Columbia,Net Exports,2006,-7184.22
Evolving Policies,British Columbia,Net Interprovincial Out-Flows,2006,630.34
Evolving Policies,Canada,Exports,2006,42735.42
Evolving Policies,Canada,Imports,2006,23624.12
Evolving Policies,Canada,Interprovincial In-Flows,2006,47099.68
Evolving Policies,Canada,Interprovincial Out-Flows,2006,47108.52
Evolving Policies,Canada,Net Exports,2006,19111.3
Evolving Policies,Canada,Net Interprovincial Out-Flows,2006,8.84
Evolving Policies,Manitoba,Exports,2006,12344.45
Evolving Policies,Manitoba,Imports,2006,828.57
Evolving Policies,Manitoba,Interprovincial In-Flows,2006,302.47
Evolving Policies,Manitoba,Interprovincial Out-Flows,2006,2198.15
Evolving Policies,Manitoba,Net Exports,2006,11515.88
Evolving Policies,Manitoba,Net Interprovincial Out-Flows,2006,1895.68
Evolving Policies,New Brunswick,Exports,2006,2140.79
Evolving Policies,New Brunswick,Imports,2006,1629.96
Evolving Policies,New Brunswick,Interprovincial In-Flows,2006,171.94
Evolving Policies,New Brunswick,Interprovincial Out-Flows,2006,2003.69
Evolving Policies,New Brunswick,Net Exports,2006,510.83
Evolving Policies,New Brunswick,Net Interprovincial Out-Flows,2006,1831.75
Evolving Policies,Newfoundland and Labrador,Exports,2006,0
Evolving Policies,Newfoundland and Labrador,Imports,2006,0
Evolving Policies,Newfoundland and Labrador,Interprovincial In-Flows,2006,15.66
